F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
24,53,4,3,3,False,211,False,False,2,False,False,False,True,0,9,False,3,False,False,NomAnaph
41,44,2,5,0,False,153,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
49,54,7,6,0,False,213,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
30,31,2,3,0,False,46,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
18,19,2,3,0,False,76,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
1,18,1,0,3,False,19,False,False,0,False,False,False,False,0,5,False,3,False,False,NomAnaph
7,82,4,1,12,False,102,False,False,3,False,False,False,True,0,15,False,2,False,False,NomAnaph
7,82,4,1,12,False,102,False,False,3,False,False,False,True,0,15,False,2,False,False,NomAnaph
5,30,3,1,3,False,196,False,False,0,False,False,False,False,0,19,False,3,False,False,NomAnaph
1,39,1,0,3,False,17,False,False,2,False,False,False,True,0,23,False,3,False,False,NomAnaph
17,18,1,4,0,False,172,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
5,16,1,1,1,False,196,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,39,4,0,4,False,14,False,False,3,False,False,False,True,0,9,False,4,False,False,NomAnaph
30,42,3,4,2,False,133,False,False,0,False,False,False,False,0,6,False,5,False,False,NomAnaph
30,42,3,4,2,False,133,False,False,0,False,False,False,False,0,6,False,5,False,False,NomAnaph
1,10,1,0,0,False,7,False,False,1,False,False,False,False,0,0,False,3,False,False,NomAnaph
3,13,2,0,1,False,31,False,False,0,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
5,10,1,1,0,False,193,False,False,1,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
3,14,1,0,1,False,29,False,False,1,False,False,False,True,0,0,False,3,False,False,ClauseAnaph
48,59,6,7,2,False,118,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
5,11,2,1,0,False,180,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
11,16,1,1,1,False,152,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
24,29,2,2,0,False,234,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
3,36,3,0,5,False,32,False,False,0,False,False,False,False,0,19,False,3,False,False,ClauseAnaph
8,14,2,1,0,False,148,False,False,0,False,False,False,False,0,0,False,2,False,False,ClauseAnaph
1,17,2,0,1,False,8,False,False,1,False,False,False,False,0,12,False,4,False,False,ClauseAnaph
13,14,1,2,0,False,146,False,False,0,False,False,False,False,0,0,False,2,False,False,ClauseAnaph
1,12,2,0,0,False,11,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
29,40,4,1,1,False,74,False,False,1,False,False,False,True,0,0,False,3,False,False,NomAnaph
27,38,3,2,0,False,231,False,False,1,False,False,False,False,0,0,False,3,False,False,NomAnaph
9,10,1,1,0,False,146,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
3,8,1,0,0,False,23,False,False,1,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
7,14,1,0,0,False,229,False,False,1,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
1,95,7,0,10,False,9,False,False,6,False,False,False,True,0,47,False,3,False,False,ClauseAnaph
23,36,4,2,0,False,53,False,False,1,False,False,False,False,0,5,False,3,False,False,NomAnaph
15,16,1,2,0,False,46,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
11,14,2,1,0,False,162,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
7,12,1,1,1,False,144,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
3,24,1,0,2,False,29,False,False,1,False,False,False,True,0,11,False,3,False,False,NomAnaph
6,15,2,0,1,False,244,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
9,14,1,1,0,False,104,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
19,26,3,3,1,False,83,False,False,0,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
8,17,1,1,1,False,157,False,False,0,False,False,False,False,0,3,False,3,False,False,ClauseAnaph
1,12,1,0,1,False,6,False,False,1,False,False,False,True,0,3,False,3,False,False,ClauseAnaph
25,36,2,3,1,False,111,False,False,1,False,False,False,True,0,0,False,3,False,False,ClauseAnaph
43,50,3,6,0,False,140,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
7,19,2,1,1,False,93,False,False,1,False,False,False,False,0,1,False,2,False,False,NomAnaph
7,19,2,1,1,False,93,False,False,1,False,False,False,False,0,1,False,2,False,False,NomAnaph
